Table S5 | The Bayes factor (BF) calculation results.        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data type,Species number,Dataset name,method,i_val,e_val,rep,n_samples,pp_Porifera,pp_Ctenophora,pp_Cnidaria,pp_Xenacoelomorpha,pp_Hemichordata,pp_Echinodermata,pp_Lophotrochozoa,pp_Ecdysozoa,pp_metazoans,pp_metazoans_ingroup,pp_Ctenophora_Sister,pp_Porifera_Sister,pp_Deuterostome,pp_Nephrozoa,pp_Xenambulacraria,bf_Porifera,bf_Xenacoelomorpha,bf_Deutorostome,bf_Porifera>5,bf_Porifera<-5,bf_Xenacoelomorpha>5,bf_Xenacoelomorpha<-5,bf_Deutorostome>5,bf_Deutorostome<-5
Gene content,41,Xen,Homogroups,2,1.00E-05,4,70001,1,1,1,1,1,1,0,1,1,0.007866517,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Homogroups,2,1.00E-09,1,70001,1,1,1,1,1,1,1,1,1,0.2575951,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Homogroups,2,1.00E-09,2,70001,1,1,1,1,1,1,0.9953334,1,1,0.2360526,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Homogroups,2,1.00E-09,3,70001,1,1,1,1,1,1,0.9953334,1,1,0.2360526,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Homogroups,2,1.00E-09,4,70001,1,1,1,1,1,1,0.9999238,1,1,0.2687758,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Homogroups,2,1.00E-12,1,70001,1,1,1,1,1,1,1,1,1,0.0007047485,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Homogroups,2,1.00E-12,2,70001,1,1,1,1,1,1,1,1,1,0.000895221,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Homogroups,2,1.00E-12,3,70001,1,1,1,1,1,1,1,1,1,0.0002095198,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Homogroups,2,1.00E-12,4,70001,1,1,1,1,1,1,1,1,1,0.0002666616,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Homogroups,2.5,1.00E-02,1,100001,1,1,1,1,1,1,0,1,1,0.0001199984,0,1,1,1,0,10.49056257,26.02783043,11.51292546,1,0,1,0,1,0
Gene content,41,Xen,Homogroups,2.5,1.00E-02,2,100001,1,1,1,1,1,1,0,1,1,0.0001199984,0,1,1,1,0,10.49056257,26.02783043,11.51292546,1,0,1,0,1,0
Gene content,41,Xen,Homogroups,2.5,1.00E-02,3,100001,1,1,1,1,1,1,0.0001333316,1,1,0.00007999893,0,1,1,1,0,10.49056257,26.02783043,11.51292546,1,0,1,0,1,0
Gene content,41,Xen,Homogroups,2.5,1.00E-02,4,100001,1,1,1,1,1,1,0,1,1,0.00001333316,0,1,1,1,0,10.49056257,26.02783043,11.51292546,1,0,1,0,1,0
Gene content,41,Xen,Homogroups,2.5,1.00E-05,1,70001,1,1,1,1,1,1,0,1,1,0.001904726,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Homogroups,2.5,1.00E-05,2,70001,1,1,1,1,1,1,0,1,1,0.001276166,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Homogroups,2.5,1.00E-05,3,70001,1,1,1,1,1,1,0,1,1,0.001885678,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Homogroups,2.5,1.00E-05,4,70001,1,1,1,1,1,1,0,1,1,0.00118093,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Homogroups,2.5,1.00E-09,1,70001,1,1,1,1,1,1,0.9909716,1,1,0,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Homogroups,2.5,1.00E-09,2,70001,1,1,1,1,1,1,0.9856193,1,1,0.00001904726,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Homogroups,2.5,1.00E-09,3,70001,1,1,1,1,1,1,0.9856193,1,1,0.00001904726,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Homogroups,2.5,1.00E-09,4,70001,1,1,1,1,1,1,0.9644007,1,1,0,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Homogroups,2.5,1.00E-12,1,70001,1,1,1,1,1,1,0.03516124,1,1,0.0001142835,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Homogroups,2.5,1.00E-12,2,70001,1,1,1,1,1,1,0.04152302,1,1,0.0001142835,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Homogroups,2.5,1.00E-12,3,70001,1,1,1,1,1,1,0.007104627,1,1,0.00001904726,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Homogroups,2.5,1.00E-12,4,70001,1,1,1,1,1,1,0.007104627,1,1,0.00001904726,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Homogroups,4,1.00E-02,1,70001,1,1,1,1,1,1,0.00005714177,1,1,0,0,0,1,1,0,-1.022362896,25.67115548,11.15625052,0,0,1,0,1,0
Gene content,41,Xen,Homogroups,4,1.00E-02,2,70001,1,1,1,1,1,1,0.0009333156,1,1,0,0,0,1,1,0,-1.022362896,25.67115548,11.15625052,0,0,1,0,1,0
Gene content,41,Xen,Homogroups,4,1.00E-02,3,70001,1,1,1,1,1,1,0.02700901,1,1,0,0,0,1,1,0,-1.022362896,25.67115548,11.15625052,0,0,1,0,1,0
Gene content,41,Xen,Homogroups,4,1.00E-02,4,70001,1,1,1,1,1,1,0.002171387,1,1,0,0,0,1,1,0,-1.022362896,25.67115548,11.15625052,0,0,1,0,1,0
Gene content,41,Xen,Homogroups,4,1.00E-05,1,70001,1,1,1,1,1,1,0.1338641,1,1,0,0,0,1,1,0,-1.022362896,25.67115548,11.15625052,0,0,1,0,1,0
Gene content,41,Xen,Homogroups,4,1.00E-05,2,70001,1,1,1,1,1,1,0.4668863,1,1,0,0,0,1,1,0,-1.022362896,25.67115548,11.15625052,0,0,1,0,1,0
Gene content,41,Xen,Homogroups,4,1.00E-05,3,70001,1,1,1,1,1,1,0.5266947,1,1,0,0,0,1,1,0,-1.022362896,25.67115548,11.15625052,0,0,1,0,1,0
Gene content,41,Xen,Homogroups,4,1.00E-05,4,70001,1,1,1,1,1,1,0.4318584,1,1,0,0,0,1,1,0,-1.022362896,25.67115548,11.15625052,0,0,1,0,1,0
Gene content,41,Xen,Homogroups,4,1.00E-09,1,70001,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,-1.022362896,25.67115548,11.15625052,0,0,1,0,1,0
Gene content,41,Xen,Homogroups,4,1.00E-09,2,70001,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,-1.022362896,25.67115548,11.15625052,0,0,1,0,1,0
Gene content,41,Xen,Homogroups,4,1.00E-09,3,70001,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,-1.022362896,25.67115548,11.15625052,0,0,1,0,1,0
Gene content,41,Xen,Homogroups,4,1.00E-09,4,70001,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,-1.022362896,25.67115548,11.15625052,0,0,1,0,1,0
Gene content,41,Xen,Homogroups,4,1.00E-12,1,70001,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,-1.022362896,25.67115548,11.15625052,0,0,1,0,1,0
Gene content,41,Xen,Homogroups,4,1.00E-12,2,70001,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Homogroups,4,1.00E-12,3,70001,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,-1.022362896,25.67115548,11.15625052,0,0,1,0,1,0
Gene content,41,Xen,Homogroups,4,1.00E-12,4,70001,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,-1.022362896,25.67115548,11.15625052,0,0,1,0,1,0
Gene content,41,Xen,Homogroups,6,1.00E-02,1,70001,1,1,1,1,1,1,0.9923811,1,1,0,0,0,0,0,1,-1.022362896,3.358654439,-11.15625052,0,0,0,0,0,1
Gene content,41,Xen,Homogroups,6,1.00E-02,2,70001,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,-1.022362896,3.358654439,-11.15625052,0,0,0,0,0,1
Gene content,41,Xen,Homogroups,6,1.00E-02,3,70001,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,-1.022362896,3.358654439,-11.15625052,0,0,0,0,0,1
Gene content,41,Xen,Homogroups,6,1.00E-02,4,70001,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,-1.022362896,3.358654439,-11.15625052,0,0,0,0,0,1
Gene content,41,Xen,Homogroups,6,1.00E-05,1,70001,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,-1.022362896,3.358654439,-11.15625052,0,0,0,0,0,1
Gene content,41,Xen,Homogroups,6,1.00E-05,2,70001,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,-1.022362896,3.358654439,-11.15625052,0,0,0,0,0,1
Gene content,41,Xen,Homogroups,6,1.00E-05,3,70001,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,-1.022362896,3.358654439,-11.15625052,0,0,0,0,0,1
Gene content,41,Xen,Homogroups,6,1.00E-05,4,70001,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,-1.022362896,3.358654439,-11.15625052,0,0,0,0,0,1
Gene content,41,Xen,Homogroups,6,1.00E-09,1,100001,1,1,1,1,1,1,1,1,1,0,0,0,0.00005333262,0.0001066652,0.9998933,-1.022362896,5.369196065,-9.838909072,0,0,1,0,0,1
Gene content,41,Xen,Homogroups,6,1.00E-09,2,100001,1,1,1,1,1,1,1,1,1,0,0,0,0.0003333289,0.0003599952,0.99964,-1.022362896,6.585845165,-8.006047483,0,0,1,0,0,1
Gene content,41,Xen,Homogroups,6,1.00E-09,3,100001,1,1,1,1,1,1,1,1,1,0,0,0,0.00001333316,0.00005333262,0.9999467,-1.022362896,4.675995855,-11.22524306,0,0,0,0,0,1
Gene content,41,Xen,Homogroups,6,1.00E-09,4,100001,1,1,1,1,1,1,1,1,1,0,0,0,0.00001333316,0.00005333262,0.9999467,-1.022362896,4.675995855,-11.22524306,0,0,0,0,0,1
Gene content,41,Xen,Homogroups,6,1.00E-12,1,70001,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,-1.022362896,3.358654439,-11.15625052,0,0,0,0,0,1
Gene content,41,Xen,Homogroups,6,1.00E-12,2,70001,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,-1.022362896,3.358654439,-11.15625052,0,0,0,0,0,1
Gene content,41,Xen,Homogroups,6,1.00E-12,3,70001,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,-1.022362896,3.358654439,-11.15625052,0,0,0,0,0,1
Gene content,41,Xen,Homogroups,6,1.00E-12,4,70001,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,-1.022362896,3.358654439,-11.15625052,0,0,0,0,0,1
Gene content,41,Xen,Orthogroups,1.5,1.00E-02,1,100001,1,1,1,1,1,1,0.1161718,1,1,0.99928,0,1,1,1,0,10.49056257,26.02783043,11.51292546,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,1.5,1.00E-02,2,100001,1,1,1,1,1,1,0.07779896,1,1,0.9988667,0,1,1,1,0,10.49056257,26.02783043,11.51292546,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,1.5,1.00E-02,3,100001,1,1,1,1,1,1,0.07779896,1,1,0.9988667,0,1,1,1,0,10.49056257,26.02783043,11.51292546,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,1.5,1.00E-02,4,100001,1,1,1,1,1,1,0.07779896,1,1,0.9988667,0,1,1,1,0,10.49056257,26.02783043,11.51292546,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,1.5,1.00E-05,1,100001,1,1,1,1,1,1,0,1,1,0.9994,0,1,1,1,0,10.49056257,26.02783043,11.51292546,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,1.5,1.00E-05,2,100001,1,1,1,1,1,1,0,1,1,0.9993733,0,1,1,1,0,10.49056257,26.02783043,11.51292546,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,1.5,1.00E-05,3,100001,1,1,1,1,1,1,0,1,1,0.9995733,0,1,1,1,0,10.49056257,26.02783043,11.51292546,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,1.5,1.00E-05,4,100001,1,1,1,1,1,1,0.005826589,1,1,0.9994,0,1,1,1,0,10.49056257,26.02783043,11.51292546,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,1.5,1.00E-09,1,92605,1,1,1,1,1,1,0.9947159,1,1,0.9997696,0,1,1,1,0,10.41372472,25.95099258,11.43608762,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,1.5,1.00E-09,2,83266,1,1,1,1,1,1,0.9980304,1,1,0.9996477,0,1,1,1,0,10.30742068,25.84468853,11.32978357,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,1.5,1.00E-09,3,80151,1,1,1,1,1,1,0.9997837,1,1,0.9999002,0,1,1,1,0,10.26929226,25.80656012,11.29165516,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,1.5,1.00E-09,4,71939,1,1,1,1,1,1,0.9877861,1,1,0.9994254,0,1,1,1,0,10.16119702,25.69846488,11.18355992,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,1.5,1.00E-12,1,100001,1,1,1,1,1,1,0.8437754,1,1,1,0,1,1,1,0,10.49056257,26.02783043,11.51292546,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,1.5,1.00E-12,2,100001,1,1,1,1,1,1,0.9072412,1,1,1,0,1,1,1,0,10.49056257,26.02783043,11.51292546,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,1.5,1.00E-12,3,100001,1,1,1,1,1,1,0.9072412,1,1,1,0,1,1,1,0,10.49056257,26.02783043,11.51292546,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,1.5,1.00E-12,4,100001,1,1,1,1,1,1,0.8986814,1,1,1,0,1,1,1,0,10.49056257,26.02783043,11.51292546,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2,1.00E-02,1,70001,1,1,1,1,1,1,0,1,1,0.4827718,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2,1.00E-02,2,70001,1,1,1,1,1,1,0,1,1,0.4864288,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2,1.00E-02,3,70001,1,1,1,1,1,1,0,1,1,0.4875336,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2,1.00E-02,4,70001,1,1,1,1,1,1,0,1,1,0.4886764,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2,1.00E-05,1,100001,1,1,1,1,1,1,0,1,1,0.9925334,0,1,1,1,0,10.49056257,26.02783043,11.51292546,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2,1.00E-05,2,100001,1,1,1,1,1,1,0,1,1,0.9940401,0,1,1,1,0,10.49056257,26.02783043,11.51292546,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2,1.00E-05,3,100001,1,1,1,1,1,1,0,1,1,0.9942534,0,1,1,1,0,10.49056257,26.02783043,11.51292546,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2,1.00E-05,4,100001,1,1,1,1,1,1,0,1,1,0.9947201,0,1,1,1,0,10.49056257,26.02783043,11.51292546,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2,1.00E-09,1,64263,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,10.04836086,25.58562872,11.07072376,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2,1.00E-09,2,58474,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,9.953957492,25.49122535,10.97632039,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2,1.00E-09,3,74887,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,10.20135934,25.7386272,11.22372224,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2,1.00E-09,4,64452,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,10.05129763,25.58856548,11.07366052,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2,1.00E-12,1,70001,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2,1.00E-12,2,70001,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2,1.00E-12,3,70001,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2,1.00E-12,4,70001,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2.5,1.00E-02,1,70001,1,1,1,1,1,1,0.3178797,1,1,0.5909221,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2.5,1.00E-02,2,70001,1,1,1,1,1,1,0.2943563,1,1,0.579189,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2.5,1.00E-02,3,70001,1,1,1,1,1,1,0.3442411,1,1,0.5755509,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2.5,1.00E-02,4,70001,1,1,1,1,1,1,0.1758443,1,1,0.5842365,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2.5,1.00E-05,1,100001,1,1,1,1,1,1,0.5718457,1,1,0.99808,0,1,1,1,0,10.49056257,26.02783043,11.51292546,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2.5,1.00E-05,2,100001,1,1,1,1,1,1,0.5427794,1,1,0.9969734,0,1,1,1,0,10.49056257,26.02783043,11.51292546,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2.5,1.00E-05,3,100001,1,1,1,1,1,1,0.4949667,1,1,0.9972134,0,1,1,1,0,10.49056257,26.02783043,11.51292546,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2.5,1.00E-05,4,100001,1,1,1,1,1,1,0.3116758,1,1,0.9964667,0,1,1,1,0,10.49056257,26.02783043,11.51292546,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2.5,1.00E-09,1,78500,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,10.24847827,25.78574613,11.27084116,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2.5,1.00E-09,2,62067,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,10.01359072,25.55085857,11.03595361,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2.5,1.00E-09,3,61395,1,1,1,1,1,1,1,1,1,0.9999783,0,1,1,1,0,10.00270449,25.53997235,11.02506739,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2.5,1.00E-09,4,69600,1,1,1,1,1,1,1,1,1,0.9998659,0,1,1,1,0,10.12814258,25.66541044,11.15050548,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2.5,1.00E-12,1,70001,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2.5,1.00E-12,2,70001,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2.5,1.00E-12,3,70001,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,2.5,1.00E-12,4,70001,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,4,1.00E-02,1,70001,1,1,1,1,1,1,1,1,1,0.05057047,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,4,1.00E-02,2,70001,1,1,1,1,1,1,1,1,1,0.05005619,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,4,1.00E-02,3,70001,1,1,1,1,1,1,1,1,1,0.04712291,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,4,1.00E-02,4,70001,1,1,1,1,1,1,1,1,1,0.04958001,0,1,1,1,0,10.13388762,25.67115548,11.15625052,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,4,1.00E-05,1,100001,1,1,1,1,1,1,0.9991733,1,1,0.6958307,0,1,1,1,0,10.49056257,26.02783043,11.51292546,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,4,1.00E-05,2,100001,1,1,1,1,1,1,1,1,1,0.6909375,0,1,1,1,0,10.49056257,26.02783043,11.51292546,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,4,1.00E-05,3,100001,1,1,1,1,1,1,0.9999733,1,1,0.6742043,0,1,1,1,0,10.49056257,26.02783043,11.51292546,1,0,1,0,1,0
Gene content,41,Xen,Orthogroups,4,1.00E-05,4,100001,1,1,1,1,1,1,1,1,1,0.6819376,0,1,1,1,0,10.49056257,26.02783043,11.51292546,1,0,1,0,1,0
